Date,n,age ,gender ,category,self_eval
05-12-2025 06:20:54,24,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
05-12-2025 06:24:00,25,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 06:25:39,26,entre 18 et 25 ans,Ne se prononce pas,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 06:28:27,27,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
05-12-2025 06:59:55,28,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 07:17:43,29,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
05-12-2025 07:19:44,30,entre 26 et 40 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 07:22:29,31,entre 26 et 40 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 07:22:48,32,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 07:22:50,33,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 07:26:40,34,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 07:31:16,35,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 07:31:23,36,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
05-12-2025 07:35:57,37,entre 18 et 25 ans,Feminin,Agriculteurs/agricultrices exploitant.e.s,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 07:37:57,38,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 07:41:03,39,entre 18 et 25 ans,Ne se prononce pas,Ne se prononce pas,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 07:41:51,40,entre 18 et 25 ans,Ne se prononce pas,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 08:04:01,41,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
05-12-2025 08:12:49,42,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 08:14:20,43,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 08:14:45,44,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 08:33:13,45,entre 18 et 25 ans,Masculin,Cadres et professions intellectuelles supérieures,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 08:37:29,46,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
05-12-2025 08:40:47,47,entre 18 et 25 ans,Masculin,Ne se prononce pas,Novice: Vous n'avez pas de connaissances particulières sur le sujet
05-12-2025 08:43:24,48,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 08:43:26,49,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 08:49:03,50,entre 18 et 25 ans,Feminin,Cadres et professions intellectuelles supérieures,Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
05-12-2025 08:55:14,51,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
05-12-2025 09:03:20,52,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 09:11:21,53,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 09:15:00,54,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
05-12-2025 09:29:48,55,entre 18 et 25 ans,Masculin,Cadres et professions intellectuelles supérieures,Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
05-12-2025 09:32:19,56,entre 18 et 25 ans,Masculin,Cadres et professions intellectuelles supérieures,Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
